Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
RARB,"Dna binding
Zinc ion binding
Dna-binding transcription factor activity
Sequence-specific dna binding
Nuclear receptor activity
Metal ion binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Sequence-specific double-stranded dna binding
Nuclear glucocorticoid receptor binding
Protein binding
Protein-containing complex binding
Nuclear retinoid x receptor binding
Heterocyclic compound binding","Regulation of dna-templated transcription
Retinoic acid receptor signaling pathway
Negative regulation of transcription by rna polymerase ii
Cell differentiation
Positive regulation of transcription by rna polymerase ii
Signal transduction
Hormone-mediated signaling pathway
Embryonic digestive tract development
Regulation of transcription by rna polymerase ii
Cellular response to corticotropin-releasing hormone stimulus
Ureteric bud development
Glandular epithelial cell development
Growth plate cartilage development
Apoptotic process
Cell population proliferation
Programmed cell death
Striatum development
Neurogenesis
Regulation of myelination
Negative regulation of chondrocyte differentiation
Embryonic hindlimb morphogenesis
Multicellular organism growth
Positive regulation of apoptotic process
Positive regulation of programmed cell death
Embryonic eye morphogenesis
Ventricular cardiac muscle cell differentiation
Bone development
Negative regulation of cartilage development
Neural precursor cell proliferation
Stem cell proliferation
Negative regulation of stem cell proliferation","Nucleus
Cytoplasm
Nucleoplasm
Chromatin
Transcription regulator complex",ENSG00000077092,retinoic acid receptor beta,protein_coding
RASA1,"Protein binding
Signaling receptor binding
Gtpase activator activity
Phosphotyrosine residue binding
Gtpase activity
Gtpase binding
Potassium channel inhibitor activity","Regulation of gtpase activity
Signal transduction
Negative regulation of apoptotic process
Intracellular signal transduction
Regulation of cell shape
Negative regulation of neuron apoptotic process
Negative regulation of cell adhesion
Mitotic cytokinesis
Negative regulation of cell-matrix adhesion
Blood vessel morphogenesis
Ephrin receptor signaling pathway
Vasculogenesis
Regulation of actin filament polymerization
Regulation of rna metabolic process","Cytoplasm
Cytosol
Ruffle
Plasma membrane",ENSG00000145715,RAS p21 protein activator 1,protein_coding
RASA4DP,,,,ENSG00000233297,"RAS p21 protein activator 4D, pseudogene",transcribed_unprocessed_pseudogene
RASGEF1B,"Guanyl-nucleotide exchange factor activity
Protein binding","Small gtpase-mediated signal transduction
Ras protein signal transduction","Endosome
Late endosome
Plasma membrane
Midbody
Early endosome",ENSG00000138670,RasGEF domain family member 1B,protein_coding
RASGRP1,"Guanyl-nucleotide exchange factor activity
Calcium ion binding
Metal ion binding
Zinc ion binding
Identical protein binding
Phosphatidylcholine binding
Diacylglycerol binding
Lipid binding","Small gtpase-mediated signal transduction
Positive regulation of protein phosphorylation
Cell differentiation
B cell activation
Signal transduction
Natural killer cell activation
T cell activation
Ras protein signal transduction
Positive regulation of ras protein signal transduction
T cell proliferation
Positive regulation of natural killer cell mediated cytotoxicity
Inflammatory response to antigenic stimulus
Secretory granule localization
Positive regulation of natural killer cell activation
Positive regulation of natural killer cell differentiation
Positive regulation of t cell differentiation in thymus
B cell proliferation
Mast cell degranulation
Positive regulation of map kinase activity
Vesicle transport along microtubule
Regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Regulation of erk1 and erk2 cascade
Activation of gtpase activity","Cytoplasm
Plasma membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Cytosol
Golgi apparatus
Golgi membrane
Membrane",ENSG00000172575,RAS guanyl releasing protein 1,protein_coding
RAVER1,"Rna binding
Nucleic acid binding",,,ENSG00000161847,"ribonucleoprotein, PTB binding 1",protein_coding
RBBP5,"Protein binding
Histone binding
Transcription cis-regulatory region binding","Chromatin organization
Transcription initiation-coupled chromatin remodeling
Response to estrogen
Dna damage response","Set1c/compass complex
Nucleus
Nucleoplasm
Nucleolus
Histone methyltransferase complex
Mll1/2 complex
Mll1 complex
Mll3/4 complex",ENSG00000117222,"RB binding protein 5, histone lysine methyltransferase complex subunit",protein_coding
RBBP8NL,Protein binding,,Extracellular space,ENSG00000130701,RBBP8 N-terminal like,protein_coding
RBFOX1,"Rna binding
Nucleic acid binding
Protein binding
Mrna binding","Regulation of alternative mrna splicing, via spliceosome
Nervous system development
Rna splicing
Regulation of rna splicing
Mrna processing
Rna transport","Nucleus
Cytoplasm
Trans-golgi network
Cytoplasmic stress granule
Nuclear stress granule",ENSG00000078328,RNA binding fox-1 homolog 1,protein_coding
RBL1,"Protein binding
Rna polymerase ii transcription regulatory region sequence-specific dna binding
Promoter-specific chromatin binding","Regulation of transcription by rna polymerase ii
Regulation of cell cycle
Chromatin organization
Cell differentiation
Negative regulation of cellular senescence
Negative regulation of g1/s transition of mitotic cell cycle
Negative regulation of gene expression
Regulation of lipid kinase activity
Negative regulation of transcription by rna polymerase ii","Nucleus
Nucleoplasm
Chromatin
Transcription regulator complex",ENSG00000080839,RB transcriptional corepressor like 1,protein_coding
RBL2,"Protein binding
Dna binding
Rna polymerase ii transcription regulatory region sequence-specific dna binding
Promoter-specific chromatin binding","Regulation of transcription by rna polymerase ii
Regulation of cell cycle
Chromatin organization
Cell differentiation
Negative regulation of g1/s transition of mitotic cell cycle
Negative regulation of gene expression
Regulation of lipid kinase activity","Nucleus
Nucleoplasm
Cytosol
Nucleolus
Chromosome
Chromatin
Transcription regulator complex
Extracellular exosome",ENSG00000103479,RB transcriptional corepressor like 2,protein_coding
RBM17,"Rna binding
Nucleic acid binding
Protein binding","Mrna cis splicing, via spliceosome
Mrna processing
Rna splicing
Alternative mrna splicing, via spliceosome","Nucleus
Spliceosomal complex
Nucleoplasm
Precatalytic spliceosome
Protein-containing complex",ENSG00000134453,RNA binding motif protein 17,protein_coding
RBM19,"Rna binding
Nucleic acid binding","Mrna splicing, via spliceosome
Positive regulation of embryonic development","Nucleus
Cytoplasm
Membrane
Nucleoplasm
Nucleolus
Chromosome
Nuclear speck",ENSG00000122965,RNA binding motif protein 19,protein_coding
RBM20,"Zinc ion binding
Rna binding
Nucleic acid binding
Metal ion binding
Protein binding
Mrna binding
Splicing factor binding
Pre-mrna intronic binding","Mrna processing
Rna splicing
Regulation of rna splicing
Negative regulation of mrna splicing, via spliceosome
Positive regulation of rna splicing
Regulation of mrna splicing, via spliceosome
Heart formation
Spliceosome-depend formation of circular rna
Regulation of alternative mrna splicing, via spliceosome","Nucleus
Cytoplasm
Cytoplasmic ribonucleoprotein granule",ENSG00000203867,RNA binding motif protein 20,protein_coding
RBM28,"Rna binding
Nucleic acid binding
Mrna binding
Protein binding","Mrna processing
Rna splicing","Nucleus
Spliceosomal complex
Nucleolus",ENSG00000106344,RNA binding motif protein 28,protein_coding
RBM38,"Rna binding
Nucleic acid binding
Protein binding
Mrna 3'-utr binding
Mrna binding","Mrna processing
Rna splicing
Cell differentiation
Regulation of cell cycle
Regulation of rna splicing
Negative regulation of cell population proliferation
3'-utr-mediated mrna stabilization
Dna damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
Dna damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
Regulation of myotube differentiation","Nucleus
Cytoplasm
Cytosol",ENSG00000132819,RNA binding motif protein 38,protein_coding
RBM44,"Rna binding
Nucleic acid binding
Mrna 3'-utr binding
Protein homodimerization activity","Mrna splicing, via spliceosome","Cytoplasm
Intercellular bridge
Catalytic step 2 spliceosome",ENSG00000177483,RNA binding motif protein 44,protein_coding
RBM47,"Rna binding
Nucleic acid binding
Protein binding
Mrna binding
Enzyme binding
Mrna 3'-utr binding
Enzyme-substrate adaptor activity","Mrna processing
Rna splicing
Regulation of alternative mrna splicing, via spliceosome
Cytidine to uridine editing
Positive regulation of type i interferon-mediated signaling pathway
3'-utr-mediated mrna stabilization
Hematopoietic progenitor cell differentiation
Positive regulation of interleukin-10 production","Nucleus
Cytoplasm
Apolipoprotein b mrna editing enzyme complex",ENSG00000163694,RNA binding motif protein 47,protein_coding
RBM6,"Rna binding
Nucleic acid binding
Protein binding
Dna binding","Mrna splicing, via spliceosome
Rna processing",Nucleus,ENSG00000004534,RNA binding motif protein 6,protein_coding
RBMS1,"Rna binding
Nucleic acid binding
Protein binding
Dna binding
Mrna 3'-utr binding
Single-stranded dna binding
Double-stranded dna binding
Poly(a) binding
Poly(u) rna binding","Dna replication
Rna processing","Ribonucleoprotein complex
Nucleus
Cytosol",ENSG00000153250,RNA binding motif single stranded interacting protein 1,protein_coding
RBMS3,"Rna binding
Nucleic acid binding
Mrna 3'-utr binding
Poly(a) binding
Mrna 3'-utr au-rich region binding
Poly(u) rna binding","Positive regulation of gene expression
Negative regulation of gene expression
Negative regulation of canonical wnt signaling pathway
Defense response to tumor cell","Ribonucleoprotein complex
Cytoplasm
Nucleus
Cytosol",ENSG00000144642,RNA binding motif single stranded interacting protein 3,protein_coding
RBMS3-AS3,,,,ENSG00000235904,RBMS3 antisense RNA 3,lncRNA
RBMX2P4,,,,ENSG00000230879,RBMX2 pseudogene 4,processed_pseudogene
RBPJ,"Dna binding
Dna-binding transcription factor activity
Dna-binding transcription activator activity, rna polymerase ii-specific
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Protein binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Sequence-specific dna binding
Rna polymerase ii-specific dna-binding transcription factor binding
Dna-binding transcription factor binding
Chromatin binding","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Positive regulation of transcription by rna polymerase ii
Positive regulation of bmp signaling pathway
Notch signaling pathway
Negative regulation of dna-templated transcription
Negative regulation of cold-induced thermogenesis
Negative regulation of transcription by rna polymerase ii
Outflow tract morphogenesis
Angiogenesis
Atrioventricular canal development
Cardiac muscle cell myoblast differentiation
Negative regulation of ossification
Epithelial to mesenchymal transition
Epithelial to mesenchymal transition involved in endocardial cushion formation
Ventricular trabecula myocardium morphogenesis
Positive regulation of cardiac muscle cell proliferation
Positive regulation of cell proliferation involved in heart morphogenesis
Heart development
Aortic valve development
Cardiac left ventricle morphogenesis
Dorsal aorta morphogenesis
Pulmonary valve development
Endocardium morphogenesis
Blood vessel remodeling
Positive regulation of transcription of notch receptor target
Regulation of generation of precursor metabolites and energy
Labyrinthine layer blood vessel development
Blood vessel lumenization
Blood vessel endothelial cell fate specification
Positive regulation of erbb signaling pathway
Positive regulation of ephrin receptor signaling pathway
Somitogenesis
Inflammatory response to antigenic stimulus
Secondary heart field specification
Endocardium development
Humoral immune response
Cell population proliferation
Auditory receptor cell fate commitment
Epidermal cell fate specification
Regulation of gene expression
Positive regulation of gene expression
Pituitary gland development
Hemopoiesis
Cell differentiation
Neuron differentiation
B cell differentiation
Keratinocyte differentiation
Somatic stem cell population maintenance
Defense response to bacterium
Myeloid dendritic cell differentiation
Cell fate commitment
Negative regulation of cell differentiation
Regulation of timing of cell differentiation
Sebaceous gland development
Hair follicle maturation
Artery morphogenesis
Epithelial cell proliferation
Regulation of epithelial cell proliferation
Positive regulation of epithelial cell proliferation
Ventricular septum morphogenesis
Club cell differentiation
Arterial endothelial cell fate commitment
Regulation of cell adhesion involved in heart morphogenesis
Stem cell proliferation
Positive regulation of canonical wnt signaling pathway
Negative regulation of stem cell proliferation","Nucleus
Cytoplasm
Nucleoplasm
Nucleolus
Chromatin
Transcription repressor complex
Maml1-rbp-jkappa- icn1 complex
Transcription regulator complex",ENSG00000168214,recombination signal binding protein for immunoglobulin kappa J region,protein_coding
